"ID","Installation","Buffer","SecondBase","buffername","regionname","disjunctarea"
1,"Joint Base Lewis McChord",0,"Camp Rilea","jblm_cr_60kb","jblm_cr_60r",
2,"Camp Rilea",0,"Joint Base Lewis McChord","jblm_cr_60kb","jblm_cr_60r",
3,"Fort Bliss",1,"White Sands Missile Range","blws_65kb","blws_65r",
4,"White Sands Missile Range",1,"Fort Bliss","blws_65kb","blws_65r","Green River Test Complex"
5,"Fort Carson",1,,"fcpc_65kb","fcpc_60r","Pinon Canyon"
6,"Camp Maxey",1,,"cm_65kb","cm_65r",
7,"Fort Wolters",1,,"fw_65kb","fw_65r",
8,"Fort Hood",1,"Camp Bullis, Camp Swift, Camp Bowie","fhctx_65kb","fhctx_65r",
9,"Fort Bragg",1,"Camp Mackall, Pope AFB","fb_65kb","fb_65r",
10,"Fort Campbell",1,,"fc_65kb","fc_65r",
11,"Fort Stewart",1,,"fs_65kb","fs_65r",
12,"Fort Drum",1,,"fd_65kb","fd_65r",
13,"Fort Polk",1,,"fp_65kb","fp_65r",
14,"Fort Riley",1,,"fril_65kb","fril_65r",
15,"Fort Chaffee",1,"Camp Gruber","fccg_65kb","fccg_65r",
16,"Camp Gruber",1,"Fort Chaffee","fccg_65kb","fccg_65r",
17,"Fort Hunter Liggett",1,"Camp Roberts, Camp San Luis Obispo","hlcrslo_65kb","hlcrslo_65r",
18,"Camp Roberts",1,"Fort Hunter Liggett, Camp San Luis Obispo","hlcrslo_65kb","hlcrslo_65r",
19,"Camp San Luis Obispo",1,"Fort Hunter Liggett, Camp Roberts","hlcrslo_65kb","hlcrslo_65r",
20,"Fort Knox",1,,"knox_65kb","knox_65r",
21,"Camp Atterbury",1,,"catt_65kb","catt_65r",
22,"Fort Leonard Wood",1,,"flwo_65kb","flwo_65r",
23,"Fort Sill",1,,"sill_65_kb","sill_65r",
24,"Orchard Range",1,,"orch_65kb","orch_65r",
25,"Fort McCoy",1,,"mccoy_65kb","mccoy_65r",
26,"Camp Shelby",1,,"shel_65kb","shel_65r",
27,"Fort AP Hill",1,"Fort Lee, Fort Pickett, Fort Eustis","fva_65kb","fva_65r",
28,"Fort Lee",1,"Fort AP Hill, Fort Pickett, Fort Eustis","fva_65kb","fva_65r",
29,"Fort Pickett",1,"Fort Lee, Fort AP Hill, Fort Eustis","fva_65kb","fva_65r",
30,"Fort Eustis",1,"Fort AP Hill, Fort Lee, Fort Pickett","fva_65kb","fva_65r",
31,"Camp Blanding",1,,"bland_65kb","bland_65r",
32,"Fort Dix",1,,"dix_65kb","dix_65r",
33,"Fort IndiantownGap",1,"Aberdeen Proving Ground","figab_65kb","figab_65r",
34,"Aberdeen Proving Ground",1,"Fort Indiantown Gap","figab_65kb","figab_65r",
35,"Camp Ripley",1,,"rip_65kb","rip_65r",
36,"Fort Rucker",1,"Fort Benning","benruc_65kb","benruc_65r",
37,"Fort Benning",1,"Fort Rucker","benruc_65kb","benruc_65r","Camp Merrill"
38,"Fort Gordon",1,,"gorjac_65kb","gorjac_65r",
39,"Fort Jackson",1,,"gorjac_65kb","gorjac_65r",
40,"Camp Edwards",1,,"ced_65kb","ced_65r",
41,"Camp Grayling",1,,"gray_65kb","gray_65r",
42,"Camp Williams",1,"Dugway Proving Ground","cwdp_65kb","cwdp_65r",
43,"Dugway Proving Ground",1,"Camp Williams","cwdp_65kb","cwdp_65r",
44,"Fort William Henry Harrison",1,,"will_65kb","will_65r",
45,"Camp Joseph T Robinson",1,,"cjtr_65kb","cjtr_65r",
46,"Camp Grafton",1,,"graf_65kb","graf_65r",
47,"Marseilles Training Center",1,,"mta_65kb","mta_65r",
48,"Macon Army National Guard",1,,"macon_65kb","macon_65r",
49,"Fort Irwin",1,,"irwin_65kb","irwin_65r",
50,"Camp Dodge",1,,"dodge_65kb","dodge_65r",
51,"Ethan Allen",1,,"allen_65kb","allen_65r",
52,"Camp McCain",1,,"mccain_65kb","mccain_65r",
53,"Yuma Proving Ground",1,,"yuma_65kb","yuma_65r",
54,"Camp Navajo",1,,"cnav_65kb","cnav_65r",
55,"Camp Dawson",1,,"cdaw_65kb","cdaw_65r",
56,,0,,,,
