"a_Own_Name","totarea"
"0130",482025714.399995
"0135",579843309.853004
"0145",4737947.630231
"0170",1482.03733
"0310",23854054.204114
"0320",493945419.318168
"0325",3509200766.76051
"0330",150662350.004813
"0350",17818620.05058
"0370",1030129.809589
"0380",8155920.374059
"0395",5380548.425778
"0420",248543240.67383
"0510",1284794.482826
"0520",4186719.484487
"0610",994301.671753
"0620",8937457.728791
"0630",15663360.397161
"0660",98045961.884019
"0710",219874336.715932
"0800",1631413.890919
"0910",38501816.907932
NA,19986137540.2791
